county,total_elk_occupied_acreage,acreage_Base,acreage_SCR,pct_of_county_total_verified,exact_acreage,rem_acreage
Catron,772005.2469248998,723663.2656976848,48341.9812272149,37.34352857682651,288294,483711.2469248998
Cibola,516337.7633914725,485834.76756964956,30502.995821822966,17.128516694012667,88441,427896.7633914725
Colfax,12225.451433341243,11499.673780792358,725.7776525488864,15.533168736992799,1899,10326.451433341243
Grant,3694.6823441656866,2431.7102370150665,1262.9721071506203,28.473354459314336,1052,2642.6823441656866
Lincoln,25674.641359105015,21998.9846879524,3675.6566711526134,42.06874732514865,10801,14873.641359105015
McKinley,100706.30757334699,93231.4951929269,7474.812380420086,15.497539703392482,15607,85099.30757334699
Mora,20159.848845738314,18351.945230522182,1807.9036152161343,26.47341277624814,5337,14822.848845738316
Otero,57219.54715855265,52197.73854043794,5021.808618114715,35.97022525006753,20582,36637.54715855265
Rio Arriba,508300.747591319,466626.5077053635,41674.239885955496,19.356650657359832,98390,409910.747591319
San Miguel,3837.495425322111,2848.0044791240107,989.4909461981003,15.661256454776188,601,3236.495425322111
Sandoval,48274.8303239407,41342.58484174542,6932.245482195285,30.79037233327896,14864,33410.8303239407
Sierra,61784.3310700559,60763.36215291153,1020.9689171443703,31.896436618622065,19707,42077.3310700559
Socorro,188418.3507252085,177857.40859955334,10560.94212565514,30.864828068054752,58155,130263.3507252085
Taos,62634.70844364503,54314.45779292593,8320.2506507191,60.241359683104456,37732,24902.70844364503
Bernalillo,15571.341952850353,15571.341952850353,0,0,0,15571.341952850353
Chaves,5607.811482342336,5397.276771609664,210.53471073267195,0,0,5607.811482342336
Curry,0,0,0,NA,0,0
De Baca,0,0,0,NA,0,0
Doña Ana,22698.675022806703,22516.694917734127,181.98010507257752,0,0,22698.675022806703
Eddy,0,0,0,NA,0,0
Guadalupe,0,0,0,NA,0,0
Harding,0,0,0,NA,0,0
Hidalgo,0,0,0,NA,0,0
Lea,0,0,0,NA,0,0
Los Alamos,244.6808083555274,234.43710209312192,10.243706262405482,0,0,244.6808083555274
Luna,12808.844015962268,12633.575729454049,175.2682865082181,0,0,12808.844015962268
Quay,0,0,0,NA,0,0
Roosevelt,0,0,0,NA,0,0
San Juan,3373.2363058466944,2900.555858009068,472.68044783762656,0,0,3373.2363058466944
Santa Fe,3498.6898895797085,3144.7595933662724,353.9302962134356,0,0,3498.6898895797085
Torrance,0,0,0,NA,0,0
Union,0,0,0,NA,0,0
Valencia,25475.76791214301,25129.451566278363,346.31634586464435,0,0,25475.76791214301
