county,total_elk_occupied_acreage,acreage_Base,acreage_SCR,pct_of_county_total_verified,exact_acreage,rem_acreage,total_area_acres,private_area_acres,pct_private_land,pct_private_land_enrolled
Catron,772005.2469248998,723663.2656976848,48341.9812272149,37.34352857682651,288294,483711.2469248998,4435191.79778082,1652462.7569962947,37.257977384949086,46.71846573584417
Cibola,516337.7633914725,485834.7675696496,30502.99582182297,17.128516694012667,88441,427896.7633914725,2907781.4096105555,2062478.3933828643,70.92962306472327,25.034820488207806
Colfax,12225.451433341244,11499.673780792358,725.7776525488864,15.5331687369928,1899,10326.451433341244,2411210.935336016,2333825.4577419823,96.79059693783074,0.5238374357767777
Grant,3694.6823441656866,2431.7102370150665,1262.9721071506203,28.473354459314336,1052,2642.6823441656866,2538392.986624429,1331214.7148617816,52.44320804053431,0.2775421803047979
Lincoln,25674.641359105015,21998.9846879524,3675.6566711526134,42.06874732514865,10801,14873.641359105017,3091857.690956834,1996224.361035939,64.56391466122652,1.2861601060604821
McKinley,100706.307573347,93231.4951929269,7474.812380420086,15.497539703392482,15607,85099.30757334699,3491315.8371456703,3036032.8367050695,86.95955846799532,3.3170361781278044
Mora,20159.848845738314,18351.945230522186,1807.9036152161343,26.47341277624814,5337,14822.848845738316,1234852.940262863,1122660.7282631516,90.91452849633828,1.7957205002554295
Otero,57219.54715855265,52197.73854043794,5021.808618114715,35.97022525006753,20582,36637.54715855265,4241290.283488628,1270193.182930398,29.94827276678677,4.504790919011575
Rio Arriba,508300.747591319,466626.5077053635,41674.239885955496,19.356650657359832,98390,409910.747591319,3773509.523924093,1798878.0586797532,47.671220842953915,28.25654274555859
San Miguel,3837.495425322111,2848.0044791240107,989.4909461981003,15.661256454776188,601,3236.495425322111,3033986.3304071683,2633713.894082114,86.80704549280759,0.1457066173339808
Sandoval,48274.8303239407,41342.58484174542,6932.245482195285,30.79037233327896,14864,33410.8303239407,2377227.281548492,1386635.728008036,58.32996023437865,3.48143563221825
Sierra,61784.3310700559,60763.36215291153,1020.9689171443704,31.896436618622065,19707,42077.3310700559,2711877.8219072316,1042414.7381001367,38.43885331703546,5.9270392879000875
Socorro,188418.3507252085,177857.40859955334,10560.94212565514,30.864828068054752,58155,130263.3507252085,4254031.727658946,1990241.2223628853,46.78482319308283,9.467111253052607
Taos,62634.70844364503,54314.45779292593,8320.2506507191,60.241359683104456,37732,24902.70844364503,1410774.6802800037,641809.3817612107,45.49340094718935,9.759082715769443
Bernalillo,15571.341952850353,15571.341952850353,0,0,0,15571.341952850353,747126.6382253696,627580.6975657307,83.99923994898732,2.481169674792215
Chaves,5607.811482342336,5397.276771609664,210.53471073267195,0,0,5607.811482342336,3888309.102965284,2634190.583248714,67.74642945026773,0.2128855640895312
Curry,0,0,0,NA,0,0,901324.09575639,895646.2555140617,99.37005564712398,0
De Baca,0,0,0,NA,0,0,1493693.852312719,1457484.2367904354,97.5758342001462,0
Doña Ana,22698.675022806703,22516.694917734127,181.98010507257752,0,0,22698.675022806703,2441945.267755398,726126.9553673603,29.735595017443032,3.125992618098449
Eddy,0,0,0,NA,0,0,2686199.850391888,1131892.661837781,42.13732130439401,0
Guadalupe,0,0,0,NA,0,0,1939786.2647746976,1878644.0546489384,96.84799241874924,0
Harding,0,0,0,NA,0,0,1360259.9159618288,1289264.4236818925,94.78074069177168,0
Hidalgo,0,0,0,NA,0,0,2204716.724513414,1275859.3798887704,57.869537873186665,0
Lea,0,0,0,NA,0,0,2812503.9914979604,2389717.392099245,84.96760891089309,0
Los Alamos,244.6808083555274,234.43710209312192,10.243706262405482,0,0,244.6808083555274,69887.37564435863,34523.66324866957,49.39899793111827,0.7087336201640092
Luna,12808.844015962268,12633.575729454047,175.2682865082181,0,0,12808.844015962268,1897978.7783720875,1134776.8585312,59.788701088876635,1.128754426005956
Quay,0,0,0,NA,0,0,1843776.5920161072,1841824.025796209,99.89409963070617,0
Roosevelt,0,0,0,NA,0,0,1570276.204375989,1503882.712200985,95.77185898952165,0
San Juan,3373.2363058466944,2900.555858009068,472.68044783762656,0,0,3373.2363058466944,3544106.1984033845,2663283.594967106,75.1468338100848,0.12665704516864854
Santa Fe,3498.6898895797085,3144.7595933662724,353.9302962134356,0,0,3498.6898895797085,1223375.2985525418,914512.1308037894,74.75319567804014,0.3825744647591078
Torrance,0,0,0,NA,0,0,2141491.9685016167,1969559.1894123824,91.97135540930678,0
Union,0,0,0,NA,0,0,2451804.4219320184,2392979.667566635,97.60075665745684,0
Valencia,25475.76791214301,25129.451566278363,346.31634586464435,0,0,25475.76791214301,683263.6096921772,636755.7535500509,93.19327775072364,4.000869685135957
