county,total_area_acres,private_area_acres,pct_private_land
Bernalillo,747126.6382253696,627580.6975657307,83.99923994898732
Catron,4435191.79778082,1652462.7569962947,37.257977384949086
Chaves,3888309.1029652837,2634190.583248714,67.74642945026773
Cibola,2907781.4096105555,2062478.3933828643,70.92962306472327
Colfax,2411210.935336016,2333825.4577419823,96.79059693783074
Curry,901324.0957563899,895646.2555140617,99.37005564712398
De Baca,1493693.852312719,1457484.2367904354,97.5758342001462
Doña Ana,2441945.267755398,726126.9553673603,29.735595017443032
Eddy,2686199.850391888,1131892.661837781,42.13732130439401
Grant,2538392.986624429,1331214.7148617816,52.44320804053431
Guadalupe,1939786.2647746978,1878644.0546489386,96.84799241874924
Harding,1360259.9159618288,1289264.4236818925,94.78074069177168
Hidalgo,2204716.724513414,1275859.3798887704,57.869537873186665
Lea,2812503.9914979604,2389717.392099245,84.96760891089309
Lincoln,3091857.690956834,1996224.361035939,64.56391466122652
Los Alamos,69887.37564435863,34523.66324866957,49.39899793111827
Luna,1897978.7783720877,1134776.8585311999,59.788701088876635
McKinley,3491315.8371456703,3036032.8367050695,86.95955846799532
Mora,1234852.940262863,1122660.7282631516,90.91452849633829
Otero,4241290.283488628,1270193.182930398,29.94827276678677
Quay,1843776.5920161074,1841824.025796209,99.89409963070617
Rio Arriba,3773509.523924093,1798878.0586797532,47.671220842953915
Roosevelt,1570276.204375989,1503882.712200985,95.77185898952165
San Juan,3544106.1984033845,2663283.594967106,75.1468338100848
San Miguel,3033986.3304071683,2633713.894082114,86.80704549280759
Sandoval,2377227.281548492,1386635.728008036,58.32996023437865
Santa Fe,1223375.2985525418,914512.1308037894,74.75319567804014
Sierra,2711877.8219072316,1042414.7381001367,38.43885331703546
Socorro,4254031.727658946,1990241.2223628853,46.784823193082836
Taos,1410774.6802800037,641809.3817612107,45.49340094718935
Torrance,2141491.9685016167,1969559.1894123822,91.97135540930678
Union,2451804.4219320184,2392979.667566635,97.60075665745683
Valencia,683263.6096921772,636755.7535500509,93.19327775072364
