unit_ranch_number,gmu,ranch_name,ranch_class,ranch_status,elk_occupied_acreage,gis_acre,county
13-40130,13,Sam's Place,SCR,UW,37,37.22972229,Cibola
10-29825,10,La Vista,SCR,UW,25,24.89184888,Cibola
13-27106,13,Riverdale,SCR,UW,40,42.30142345,Catron
15-27802,15,THREE Z'S,SCR,UW,160,159.87002601,Catron
15-40995,15,Calderwood Ranch,SCR,UW,81,79.64857198,Catron
15-41068,15,RFT Ranch,SCR,UW,120,119.03903603,Catron
15-42256,15,Wild-R,SCR,UW,81,80.18886191,Catron
15-42276,15,KENT AND BRENDA SCHAUER,SCR,UW,80,81.66438188,Catron
16D-29020,16D,KELLAR RANCH,SCR,UW,29,25.06779726,Catron
16A-42225,16A,DOUBLE D RANCH,SCR,UW,34,40.02927376,Catron
16D-28708,16D,Najar,SCR,UW,10,9.66195615,Catron
23-41192,23,FS Ranch,SCR,UW,323,322.30791353,Catron
34-41016,34,McTeigue,SCR,UW,15,15.290009029999998,Otero
45-21353,45,Orlando Arellano,SCR,UW,228,124.41162534,Mora
45-21360,45,Quintana,SCR,UW,160,144.7030686,San Miguel
45-27204,45,Rodarte,SCR,UW,59,35.894444269999994,Taos
45-27444,45,Reymundo Griego,SCR,UW,12,15.448643740000001,Taos
45-29068,45,Caruso,SCR,UW,86,86.07241377,San Miguel
45-41824,45,Sisneros Ranch,SCR,UW,32,29.2557447,Taos
48-42399,48,Sandra Ledoux 48,SCR,UW,109,113.2556108,Mora
51-20512,51,Johnny Jaramillo,SCR,UW,62,59.978975750000004,Rio Arriba
51-21669,51,Ernest Sanchez,SCR,UW,259,247.58533348999998,Rio Arriba
51-22575,51,Sanchez Family Trust,SCR,UW,120,119.58713686,Rio Arriba
51-26477,51,DH,SCR,UW,126,130.41261307,Rio Arriba
51-27746,51,Tafoya L,SCR,UW,5,3.84774946,Rio Arriba
51-28775,51,Graves Tusas,SCR,UW,71,68.43210028,Rio Arriba
51-28950,51,C Ortega,SCR,UW,15,14.63770298,Rio Arriba
51-28964,51,Mendonca-Trujillo,SCR,UW,15,12.48108831,Rio Arriba
51-29050,51,Valdez,SCR,UW,20,20.209635730000002,Rio Arriba
51-29739,51,Juarros,SCR,UW,19,16.91858208,Rio Arriba
51-42343,51,Meadow Lark Forge,SCR,UW,25,24.839531870000002,Rio Arriba
5B-22438,5B,OLIVAS TRACT A,SCR,UW,250,250.3881709,Rio Arriba
6A-20584,6A,DARRINGTON RANCH,SCR,UW,142,134.23413685,Sandoval
6A-22483,6A,Patrick Rodriguez,SCR,UW,90,91.52542381,Rio Arriba
6A-29625,6A,Crystal Springs,SCR,UW,11,10.60806633,Sandoval
6A-41215,6A,RANCHO DE GABRIEL MONTOYA,SCR,UW,127,115.92684606,Sandoval
6A-41328,6A,Ruth Hernandez Andrus,SCR,UW,116,113.31224233,Sandoval
6A-41865,6A,Rancho Azul,SCR,UW,99,97.1468348,Rio Arriba
6A-42412,6A,Sanchez,SCR,UW,31,32.403556880000004,Sandoval
6C-20637,6C,John Valdez,SCR,UW,67,64.25892823,Rio Arriba
6C-26924,6C,Banco Largo,SCR,UW,55,72.22863381,Rio Arriba
6C-28326,6C,Sarca,SCR,UW,20,20.00982293,Rio Arriba
6C-28727,6C,El Moro,SCR,UW,68,65.37564040000001,Rio Arriba
6C-40854,6C,Rancho de la Mesa,SCR,UW,5,5.36531302,Rio Arriba
6C-40884,6C,Charles Padilla Ranch (GMU 6C),SCR,UW,21,18.27654974,Rio Arriba
6C-41051,6C,Tierra Y Cielo,SCR,UW,8,7.97610584,Rio Arriba
6C-41475,6C,CZ Ranch,SCR,UW,7,7.05938535,Rio Arriba
6C-42906,6C,Marvin Martinez,SCR,UW,31,30.04368544,Rio Arriba
15-43099,15,Whale Tails II,SCR,UW,20,19.99394611,Catron
15-43002,15,Rock House,SCR,UW,40,40.79484618,Catron
51-43522,51,Roman Martinez,SCR,UW,9,9.046977750000002,Rio Arriba
6A-43542,6A,Lopez,SCR,UW,14,13.74557707,Sandoval
16A-43425,16A,Mr Lerma,SCR,UW,34,34.12086939,Catron
51-42040,51,Joe B Valdez 2,SCR,UW,60,60.562423589999995,Rio Arriba
23-43678,23,Lazy 5k Ranch,SCR,UW,32,33.06846751,Catron
12-43768,12,Omega Pines,SCR,UW,437,436.67979868000003,Catron
6C-43836,6C,Leyba - Abiquiu,SCR,UW,3,2.83423594,Rio Arriba
16D-29829,16D,Hayhurst Ranch,SCR,UW,86,86.26488225,Catron
34-43850,34,Lisk Ranch,SCR,UW,21,20.97924535,Otero
6A-43878,6A,Julia Duran,SCR,UW,14,14.226635439999999,Sandoval
48-21518,48,Coyote,SCR,UW,22,19.84568717,Colfax
36-44096,36,SC,SCR,UW,35,33.090926589999995,Lincoln
15-44126,15,Anderson 2,SCR,UW,20,20.99270456,Catron
15-44134,15,Lindley ,SCR,UW,10,9.53737753,Catron
51-44166,51,Cross Canyon Ranch,Base,UW,2200,2198.71496431,Rio Arriba
49-44206,49,Cordovas,SCR,UW,15,20.878506419999997,Taos
