gmu,ranch_count,total_elk_occupied_acreage,acreage_Base,acreage_SCR,Base and SCR Pool,Habitat Incentives,Special Management Ranches,total_area_acres,private_area_acres,pct_private_land,pct_private_land_enrolled
10,77,101827,92606,9221,79373,8935,22454,1427701.4039426588,990594.3890899756,69.38386320517768,10.279383885219145
12,195,674414,628408,46006,585729,125777,88685,1657649.0058063038,1307986.2029732806,78.90610125495522,51.56124724151825
13,138,288593,275282,13311,288593,2573,0,2847956.038996132,1801222.9259760594,63.24616325928147,16.022059004363115
15,176,187297,172413,14884,187188,22774,0,1045477.3840946016,296119.18564148917,28.323825091437307,63.250545416115
16A,18,4869,3435,1434,4869,0,0,412273.43298527465,15626.392661345742,3.7902982368266938,31.158822803961733
16B/22,5,158,0,158,158,0,0,NA,NA,NA,NA
16C,5,47295,47231,64,47295,0,0,306860.12135057576,69502.45314540088,22.64955538683276,68.04795781964367
16D,16,27767,26639,1128,26966,801,0,301346.277680147,43355.13895806656,14.387149325960577,64.0454641994262
16E,15,106166,105004,1162,106166,0,0,614035.2023465296,460148.6228319967,74.9384760146557,23.07211077729595
17,60,98747,90963,7784,98747,0,0,1054541.325243879,382111.68319931225,36.2348704647438,25.842444589293766
2,42,47238,41028,6210,47238,0,0,NA,NA,NA,NA
21A,5,622,0,622,622,0,0,300153.9742504688,6503.939708429839,2.166867763344193,9.5634342857425
21B,15,93822,92828,994,93822,0,0,1631990.7555374491,976766.584737994,59.851232699925696,9.605365444106242
23,11,2425,710,1715,2425,0,0,1873940.782348956,1099905.725961015,58.69479635222519,0.22047344083796064
24,6,4210,3361,849,4210,0,0,967005.345029956,532802.5277488981,55.09819883491883,0.7901614164233302
34,186,58272,53174,5098,49550,5220,8722,1078157.2180179069,430727.5197415356,39.950344211708625,13.528738547972736
36,98,30230,26420,3810,30230,162,0,635431.8247287103,394760.72517599777,62.124796054169295,7.657803340624232
4,436,293251,280750,12501,293251,3829,0,443889.6640055389,439952.59107978415,99.1130514528706,66.65513647283413
45,53,11963,8915,3048,11886,810,0,974579.6700017452,260908.42108309997,26.771379407353397,4.5851337225293145
48,48,30942,28979,1963,30942,139,0,242197.3086505945,241438.25230877433,99.686595880834,12.815699129742047
49,21,1037,0,1037,1037,0,0,271825.21200680075,60212.0703931116,22.151024898899063,1.7222460434089892
50,26,35014,31217,3797,35014,0,0,590422.1273685826,248544.72875969452,42.09610670714846,14.087605146457678
51,209,57009,47954,9055,57009,2619,0,NA,NA,NA,NA
52,55,15201,12391,2810,15201,0,1631,269346.5839942639,28029.98999807893,10.406662517270265,54.23120022890418
53,48,28166,24792,3374,23266,4900,716,438143.5184412455,242045.45170034352,55.243417171034,11.636657413777804
5A,113,106367,101035,5332,106367,6828,0,146220.67834986074,123654.1865686023,84.56682595380674,86.0197320864575
5B,33,6514,3699,2815,6514,365,0,264651.47059836384,50827.757925036145,19.20554524413452,12.815831872039766
6A,89,16697,10440,6257,16529,2506,0,845615.3479245211,442066.677708332,52.27751350461422,3.7770320275115585
6C,65,27201,23854,3347,27201,91,0,777755.2220143627,340372.90643317107,43.76349998031713,7.991529139332555
7,13,16410,13737,2673,16410,6953,0,2192505.760882429,1479338.1080801971,67.47248442735223,1.1092798806687936
9,11,90655,90464,191,35657,0,54998,2130890.0859964727,1711068.176546626,80.29828416731668,5.298152419792238
