gmu,total_area_acres,private_area_acres,pct_private_land
10,1427701.4039426588,990594.3890899756,69.38386320517768
12,1657649.0058063038,1307986.2029732806,78.90610125495522
13,2847956.038996132,1801222.9259760594,63.24616325928147
14,1060050.8961601362,876903.6946887736,82.72279169473995
15,1045477.3840946017,296119.18564148917,28.323825091437307
16A,412273.43298527465,15626.392661345742,3.7902982368266933
16B,602864.5377966183,3184.575660540457,0.5282406678255808
16C,306860.12135057576,69502.45314540088,22.64955538683276
16D,301346.277680147,43355.13895806656,14.387149325960577
16E,614035.2023465296,460148.6228319967,74.9384760146557
17,1054541.3252438793,382111.68319931225,36.2348704647438
18,1564960.2072503068,881656.8540086446,56.33733368580332
19,2721848.4842324443,91524.6493772604,3.362591632394636
20,1637023.22240631,837315.6931064858,51.14867533007199
21A,300153.9742504688,6503.939708429839,2.166867763344193
21B,1631990.7555374491,976766.584737994,59.851232699925696
22,251341.49223551588,90339.64128308877,35.94298755831262
23,1873940.782348956,1099905.7259610153,58.69479635222519
24,967005.3450299561,532802.5277488981,55.09819883491883
25,2025467.1443968199,848387.8010766808,41.88603125079716
26,1474087.843034957,926063.5608730897,62.82282058350362
27,662736.3655774265,343737.3970303583,51.8663853206347
28,688019.3703819612,2245.3113677446845,0.32634420837572875
29,756269.2913406832,297135.43789871543,39.28963416879798
2A,503784.28876801726,217671.93186144112,43.20736805702069
2B,477488.4985499901,126632.445818589,26.520522735759958
2C,516382.27130775293,100026.26654963417,19.37058495372329
30,1883457.675238553,687816.9476449685,36.518842801065425
31,5342262.99070606,4165154.0604312774,77.96609915456052
32,3889236.2647324055,3102643.7334770123,79.77514150044793
33,1453922.2364154914,922304.3705607192,63.43560525180314
34,1078157.2180179069,430727.5197415356,39.950344211708625
36,635431.8247287103,394760.72517599777,62.124796054169295
37,1053641.3393379853,721727.8019197008,68.49843252858422
38,2083676.6664376277,1709715.9770579634,82.05284459901311
39,1688056.75405592,1654776.5983834704,98.02849308280148
4,443889.6640055389,439952.59107978415,99.1130514528706
40,2416297.985043964,2410588.2638151594,99.76369962379866
41,1174567.9542569122,1174567.9542569122,100
42,2748338.494337447,2691294.7761304826,97.92442894772624
43,1218287.8473381384,1097894.0447948917,90.11778679346614
45,974579.6700017453,260908.42108309997,26.771379407353397
46,807732.3805461086,804535.5040703221,99.60421588229197
47,771949.3602791884,730324.3895015676,94.6078107037272
48,242197.3086505945,241438.25230877433,99.68659588083399
49,271825.21200680075,60212.0703931116,22.151024898899063
50,590422.1273685826,248544.72875969452,42.09610670714846
51A,509194.7002933474,74427.40420293117,14.616688696888142
51B,125826.67474060364,49732.18817004489,39.52436021421502
52,269346.5839942639,28029.98999807893,10.406662517270265
53,438143.5184412455,242045.45170034352,55.243417171034
54,220071.5761721851,220071.5761721851,100
55A,1007381.647373585,907677.4941161716,90.10264347009308
55B,240286.99058788945,236697.5366737252,98.50618050299676
56,1140754.7827353666,1140244.409401495,99.95526003120075
57,274166.0865867819,274070.3309106886,99.96507384363784
58,979887.1424351784,951502.7666616632,97.10330153909608
59,1208875.7721423113,1132275.4777146906,93.66350983344853
5A,146220.67834986074,123654.1865686023,84.56682595380674
5B,264651.47059836384,50827.757925036145,19.20554524413452
6A,845615.3479245211,442066.677708332,52.27751350461422
6B,88814.815622932,60.801620236504455,0.06845887120302198
6C,777755.2220143627,340372.90643317107,43.76349998031713
7,2192505.760882429,1479338.1080801971,67.47248442735223
8,590059.2561837835,504304.04213703016,85.46667760092835
9,2130890.0859964727,1711068.176546626,80.29828416731668
