gmu,ranch_count,total_elk_occupied_acreage,acreage_Base,acreage_SCR,acreage_BaseAndSCRPool_auth,acreage_HabitatIncentives_auth,acreage_SpecialManagementRanches_auth
2,42,47238,41028,6210,47238,0,0
4,436,293251,280750,12501,293251,3829,0
5A,113,106367,101035,5332,106367,6828,0
5B,33,6514,3699,2815,6514,365,0
6A,89,16697,10440,6257,16529,2506,0
6C,65,27201,23854,3347,27201,91,0
7,13,16410,13737,2673,16410,6953,0
9,11,90655,90464,191,35657,0,54998
10,77,101827,92606,9221,79373,8935,22454
12,195,674414,628408,46006,585729,125777,88685
13,138,288593,275282,13311,288593,2573,0
15,176,187297,172413,14884,187188,22774,0
16A,18,4869,3435,1434,4869,0,0
16B/22,5,158,0,158,158,0,0
16C,5,47295,47231,64,47295,0,0
16D,16,27767,26639,1128,26966,801,0
16E,15,106166,105004,1162,106166,0,0
17,60,98747,90963,7784,98747,0,0
21A,5,622,0,622,622,0,0
21B,15,93822,92828,994,93822,0,0
23,11,2425,710,1715,2425,0,0
24,6,4210,3361,849,4210,0,0
34,186,58272,53174,5098,49550,5220,8722
36,98,30230,26420,3810,30230,162,0
45,53,11963,8915,3048,11886,810,0
48,48,30942,28979,1963,30942,139,0
49,21,1037,0,1037,1037,0,0
50,26,35014,31217,3797,35014,0,0
51,209,57009,47954,9055,57009,2619,0
52,55,15201,12391,2810,15201,0,1631
53,48,28166,24792,3374,23266,4900,716
