gmu,county,geoid,gmu_area_fraction
42,Mora,35033,0.009131835107036695
45,Mora,35033,0.10638288556601708
46,Mora,35033,0.6804364752008177
47,Mora,35033,0.5216277388004295
48,Mora,35033,0.5727348977880508
49,Mora,35033,0.055481775600729664
2A,San Juan,35045,0.999928478915778
2B,San Juan,35045,0.22750377966233806
2C,San Juan,35045,0.564253619934343
7,San Juan,35045,0.3684181199046193
45,Taos,35055,0.08624335156626117
46,Taos,35055,1.337751665469544e-6
49,Taos,35055,0.8714203528401135
50,Taos,35055,0.7588902337014435
51A,Taos,35055,0.045934242005367214
52,Taos,35055,0.00598327164904153
53,Taos,35055,0.9996186218286894
55A,Taos,35055,0.17749211480526916
2C,Sandoval,35043,0.0038296570888671747
6A,Sandoval,35043,0.8838881966716948
6B,Sandoval,35043,0.9728337783997243
6C,Sandoval,35043,0.18586927471785714
7,Sandoval,35043,0.22066526308070983
8,Sandoval,35043,0.2572997785834185
9,Sandoval,35043,0.29361195196600665
16B,Sierra,35051,0.06904571809820535
16C,Sierra,35051,0.22636762911749203
17,Sierra,35051,0.08230878349778356
19,Sierra,35051,0.19255933734538933
20,Sierra,35051,0.5666577739378004
21A,Sierra,35051,0.846476554507253
21B,Sierra,35051,0.4946273159258854
24,Sierra,35051,9.826685650319536e-4
2A,Rio Arriba,35039,7.152108422202818e-5
2B,Rio Arriba,35039,0.772496220337662
2C,Rio Arriba,35039,0.4319167229767898
4,Rio Arriba,35039,1
5A,Rio Arriba,35039,1
5B,Rio Arriba,35039,1
6A,Rio Arriba,35039,0.1149622919838779
6B,Rio Arriba,35039,0.0271598097397863
6C,Rio Arriba,35039,0.4068528571264316
7,Rio Arriba,35039,0.002313875897346652
45,Rio Arriba,35039,0.17659434991850934
49,Rio Arriba,35039,0.012719216291566655
50,Rio Arriba,35039,0.24097038545227395
51A,Rio Arriba,35039,0.9540657579946328
51B,Rio Arriba,35039,1
52,Rio Arriba,35039,0.9940167283509586
41,Harding,35021,0.35950392649891744
42,Harding,35021,0.07440477217606259
47,Harding,35021,0.26255264237794124
59,Harding,35021,0.4391962460520089
16B,Grant,35017,0.4810519982824454
21A,Grant,35017,0.002389251483808616
21B,Grant,35017,7.799585989443546e-5
22,Grant,35017,0.5851191091710143
